Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Sponsor,Links,EchoLink,IRLP,Coordination,Last update,Downlink Tone,Commands,Web links,On-air,Features,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,YSF Digital Enabled,DG-ID,Affiliate,Notes,WIRES-X,Mixed-Mode,Grid,AllStar,Nets,Talkgroups,Colorado,Denver Regional,Feed,Southern Colorado,Worldwide,North America,Local/Cluster,P25 Digital Enabled,NAC,Default Reflector,Location Photo,Talkgroup Network,Northern Colorado,English,TAC 310,DCI Bridge,Texas,COMM 1,Texas/Oklahoma Regional USA,Kansas,Local or Reflector,CKRG,KansasLink,Bandwidth,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,Amarillo WIRES-X,Local Network,NORCAL 1,NORCAL 5150,UA English 1,UA English 2,CAL 1,Southwest USA,Hytera USA,Parrott,Audio Test,BYRG,N. Colorado,Mountain Reg USA,Worldwide English
444.8,5,77,N5BOP,Des Moines,NM,OPEN,,113.3,SW,,444.8,449.8,77,Union,Off-Air,Wide area.,Sierra Grande Repeater Club,,,,NMFCC,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.975,5,88.5,N5DFQ,Guymon,OK,OPEN,,114,SSE,,444.975,449.975,88.5,Texas,On-Air,30,DBARC,,,,ORSI,,,,http://caprockintertie.org/,,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,88.5,N5DFQ,Guymon,OK,OPEN,,115.4,SSE,,147.15,147.75,88.5,Texas,On-Air,,DBARC,Full-time to the  Caprock Intertie System .,,,ORSI,,,,http://caprockintertie.org/,,"Linked, WX.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,100,K0JSC,Pueblo West,CO,OPEN,EIA,115.7,W,,448.975,443.975,100,Pueblo,On-Air,,,Full-time to the  The Fun Machine System .,363976,7301,CCARC,,100,,http://www.k0jsc.com,,,,,,,,,,,,Off air.  Will return to service,,,,28368,,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.805,-0.6,103.5,W0KKS,Liberal,KS,OPEN,,116.7,SE,,146.805,146.205,103.5,Seward,On-Air,Local,Southern Plains ARC,,,,Kansas Repeater Council,,103.5,,http://spark-ks.org/,,Autopatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.1,5,141.3,K0ECT,Liberal,KS,OPEN,,116.7,SE,,443.1,448.1,141.3,Seward,On-Air,Local,SPARK,Full-time to the  SKECT System .,,,Kansas Repeater Council,,,,http://skect.org/default.aspx,,Autopatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.87,-1.7,141.3,WA0OQA,Garden City,KS,OPEN,,117.3,ESE,,52.87,51.17,141.3,Finney,On-Air,30,SHARC,,,,,,141.3,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.6,-5,107.2,KC0CVU,"Trinidad, Raton Pass",CO,OPEN,,120.8,WSW,,449.6,444.6,107.2,Las Animas,Off-Air,Wide area.,Cheyenne Mtn Rptr Grp,,,,CCARC,,,,CMRG Repeaters,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.375,-5,100,KG5JL,"Trinidad, Raton Pass",CO,OPEN,,120.9,WSW,,447.375,442.375,100,Las Animas,On-Air,"Covers I-25 from CO/NM border to north of Trinidad, CO.",KG5JL,,,,CCARC,,,,,,E-power (batt).,,,,,,,,Open ↑ / Open ↓,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,100,K0BV,"Trinidad, Raton Pass",CO,OPEN,,120.9,WSW,,147.375,147.975,100,Las Animas,Off-Air,Good coverage along I-25 between CO/NM state line and 40 miles north.,K0BV,,,,CCARC,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.18,0.6,,WK0DX,Plains,KS,OPEN,,121.4,SE,,147.18,147.78,,Meade,On-Air,Local,WK0DX,,,,Kansas Repeater Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
