Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Sponsor,Features,Coordination,Last update,Downlink Tone,Web links,Commands,On-air,Grid,Links,YSF Digital Enabled,DG-ID,Mixed-Mode,Nets,Notes,Affiliate,DMR Enabled,Color Code,Wide Network,EchoLink,IRLP,AllStar,Local Network,Talkgroups,Worldwide English,North America,Simplex,TAC 310,TAC 311,DCI Bridge,Echo Test,Hytera USA Reflector,MPRG 2,NW7RG-USA,USA - Area 7 4647,Local/Cluster,Montana,MPRG,D-STAR Enabled,Node,Sources,BGV,Parrot,WIRES-X,Talkgroup Network,Idaho,Bandwidth,P25 Digital Enabled,NAC,Default Reflector,Feed
147.36,0.6,103.5,KD8RMQ,"Plains, In Town",MT,OPEN,E,115.9,NNE,,147.36,147.96,103.5,Sanders,On-Air,Plains - Paradise,KD8RMQ,EchoLink,MRCC,,103.5,http://www.qsl.net/kd8rmq/link,#2 = Activate EchoLink (node)# = Connect to Node #. # = Disconnect from Node.,,,,,,,,Covers Plains and Paradise with a handheld. Covers from Thompson Falls to Perma on a mobile.,,,,,757103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.14,0.6,103.5,K7KTR,Plains,MT,OPEN,E,115.9,NNE,,147.14,147.74,103.5,Sanders,On-Air,30,K7KTR,80,,,,,,,,"Full-time to  
        146.62000 (KA5LXG) at Bigfork, MT .
 


Full-time to  
        146.70000 (K7HR) at East Glacier, Mt Baldy, MT .",,,,,,,,,,44014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,W7GET,"Plains, Pats Knob",MT,OPEN,A,115.9,NNE,,146.64,146.04,100,Sanders,On-Air,Wide area: From Thompson Falls to St. Regis,,,MRCC,,,,,,,,,,,,6,,,,,,,41474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.075,-5,123,W7GET,"Plains, Pats Knob",MT,OPEN,,115.9,NNE,,449.075,444.075,123,Sanders,On-Air,Wide Area,,,,,,,,,,,,,,,6915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.55,5,,K7KTR,Dixon,MT,OPEN,,116,NNE,,444.55,449.55,,Sanders,,,WB7WBJ,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.26,0.6,103.5,K7RPT,"La Grande, Mount Fanny",OR,OPEN,,116.6,WSW,,147.26,147.86,103.5,Union,On-Air,I-84 west of La Grande and the Baker area.,Amateur Radio Relay Group (ARRG),88,ORRC,,,http://www.arrg.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.15,-0.6,110.9,W7NYW,"La Grande, Mount Fanny",OR,OPEN,,116.6,WSW,,145.15,144.55,110.9,Union,On-Air,,Eastern Oregon Amateur Radio Society,7,,,,,,,,"Full-time to  
        145.17000 (W7NYW) at Ontario, Malheir, OR .
 


Full-time to  
        145.27000 (W7NYW) at Baker City, Beaver Mountain, OR .",,,,,,Baker ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.31,-0.6,88.5,KB7SIJ,"St. Maries, Idaho",ID,OPEN,,117.5,NNW,,145.31,144.71,88.5,Idaho,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,127.3,N7SZY,"Kellogg,  Wardner Peak",ID,OPEN,,119.9,NNW,,146.94,146.34,127.3,Shoshone,On-Air,,SVARC,,IACC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,127.3,N7SZY,"Kellogg,  Wardner Peak",ID,OPEN,,119.9,NNW,,444,449,127.3,Shoshone,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8,-5,,KA7NBR,Anaconda,MT,OPEN,,120.1,ESE,,446.8,441.8,,Deer Lodge,,,KA7NBR,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,103.5,W1KGK,"Missoula, Point Six",MT,OPEN,,120.6,NE,,147.12,147.72,103.5,Missoula,On-Air,Western Montana from Idaho to Central Montana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.08,0.6,107.2,K0PP,Anaconda,MT,OPEN,,121.2,ESE,,147.08,147.68,107.2,Deer Lodge,On-Air,,Anaconda ARC,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.43,-0.6,,KD7YAC,St Ignatius,MT,OPEN,,121.3,NNE,,145.43,144.83,,Lake,,,KD7YAC,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.76,-1.6,CSQ,KB7BTU,"Wallace, Goose Peak",ID,OPEN,,121.5,N,,224.76,223.16,CSQ,Shoshone,On-Air,Lookout Pass to 4th of July Pass and up the CDA River.,KB7BTU,6,IACC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
