Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Features,IRLP,Notes,Nets,Web links,Coordination,Last update,DMR Enabled,Color Code,Wide Network,Sponsor,Commands,AllStar,On-air,Affiliate,EchoLink,D-STAR Enabled,Node,Sources,Links,Grid,Location Photo
449.7,-5,107.2,KB0YNA,"Telluride, Gray Head",CO,OPEN,I,80,SSE,string,449.7,444.7,107.2,107.2,San Miguel,On-Air,Wide Area via links - Western Colorado - Eastern Utah,E-power.,3710,Closed IRLP out - Ask for a control Op,RACES: Wed at 19:30.,undefined,CCARC,string,undefined,undefined,undefined,Grand Mesa Repeater Association ( GMRA ),undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Full-time to the  GMRA Open System .,undefined,undefined
447.05,-5,136.5,K0VQ,"Aspen, Aspen Mountain",CO,OPEN,string,81.7,ESE,string,447.05,442.05,136.5,136.5,Pitkin,On-Air,Aspen-Snowmass areas.,undefined,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,Roaring Fork Amateur Repeater Cooperative,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.27,0.6,127.3,KB5ITS,"Ouray, Engineer Mountain",CO,OPEN,string,83.6,SSE,string,147.27,147.87,127.3,undefined,Ouray,On-Air,undefined,undefined,undefined,undefined,undefined,http://www.sjcham.com,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.95,-5,string,K5GF,Gunnison,CO,OPEN,string,86.1,SE,string,449.95,444.95,string,undefined,Gunnison,undefined,undefined,undefined,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,K5GF,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.12,0.6,string,W0VTL,Gunnison,CO,OPEN,string,86.1,SE,string,147.12,147.72,string,undefined,Gunnison,On-Air,undefined,E-power.,undefined,undefined,undefined,undefined,CCARC,string,undefined,undefined,undefined,W0VTL,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
449.9,-5,136.5,W7BAR,"Vernal, Uintah County EOC",UT,OPEN,I,87.9,NW,string,449.9,444.9,136.5,undefined,Uintah,undefined,"Vernal, Roosevelt, Duchesne and other Uintah basin communities.",undefined,7705,undefined,undefined,undefined,undefined,string,undefined,undefined,undefined,Borderline Amateur Radio Club,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.135,-0.6,123,KB5ITS,"Lake City, Hill 71",CO,OPEN,string,93.3,SE,string,147.135,146.535,123,undefined,Hinsdale,On-Air,undefined,E-power (solar),undefined,undefined,undefined,http://www.sjcham.com,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.92,-0.6,136.5,W7BYU,Roosevelt,UT,OPEN,E,95.9,NNW,string,146.92,146.32,136.5,undefined,Duchesne,Off-Air,"Vernal, Roosevelt, Duchesne and other Uintah basin communities.",E-power.,undefined,undefined,undefined,undefined,UVHFS,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,458695,undefined,undefined,undefined,undefined,undefined,undefined
449.7,-5,136.5,W7BYU,Vernal,UT,OPEN,string,95.9,NNW,string,449.7,444.7,136.5,undefined,Uintah,undefined,"Vernal, Roosevelt, Duchesne and other Uintah basin communities.",8,undefined,undefined,undefined,undefined,UVHFS,string,undefined,undefined,undefined,W7BYU,undefined,undefined,Unknown,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.1,0.6,136.5,W7BAR,"Vernal, Blue Mountain",UT,OPEN,EI,96,NNW,string,147.1,147.7,136.5,undefined,Uintah,On-Air,"Wide area: Vernal, Roosevelt, Duchesne and other Uintah basin communities.","Autopatch, e-power.",3577,8,undefined,undefined,UVHFS,string,undefined,undefined,undefined,""">Borderline ARC","IRLP: No access code, bring up your node by it's node no. and bring it down with a 73.",undefined,undefined,undefined,458414,undefined,undefined,undefined,"Full-time to  
        147.34000 (KG7DSO) at Vernal, Tabby Mountain, UT .",undefined,undefined
