Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Features,Coordination,Last update,Sponsor,Coverage,Links,Affiliate,IRLP,Notes,Nets,Web links,On-air,Commands,EchoLink,DMR Enabled,Color Code,Wide Network,AllStar,D-STAR Enabled,Node,Sources,Grid,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado
146.88,-0.6,107.2,KI0G,"Glenwood Springs, Sunlight Peak",CO,OPEN,string,70.7,NNE,string,146.88,146.28,107.2,undefined,Garfield,On-Air,undefined,CCARC,string,Ski Country ARC,undefined,"Full-time to  
        447.60000 (KI0G) at Glenwood Springs, CO .",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.67,-0.6,107.2,K0CL,Snowmass Village,CO,OPEN,string,71.6,NE,string,146.67,146.07,107.2,undefined,Pitkin,On-Air,Linked.,CCARC,string,Ski Country ARC,Wide area.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.65,-5,151.4,KB0YNA,"Gunnison, W Mountain or Tenderfoot Mountain",CO,OPEN,string,72.6,ESE,string,447.65,442.65,151.4,151.4,Gunnison,On-Air,"Linked to 448.650 in Montrose, Colorado and 449.650 in Grand Junction, Colorado.",CCARC,string,KB0YNA,Gunnison valley and along East and west on Highway 50.,"Full-time to  
        448.65000 (KB0YNA) at Montrose, Waterdog Peak, CO .
 


Full-time to  
        449.65000 (KB0YNA) at Grand Junction, Grand Mesa, CO .",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.67,-0.6,100,K0EP,"Durango, Eagle Pass",CO,OPEN,string,73.8,S,string,146.67,146.07,100,undefined,La Plata,On-Air,11,CCARC,string,Durango ARC,Wide area.,"Part-time to  
        147.37500 (KB5ITS) at Silverton, Kendall Mountain, CO .",undefined,undefined,Linked active in the summer months only.,undefined,DARC Repeaters,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.05,-5,136.5,K0VQ,"Aspen, Aspen Mountain",CO,OPEN,string,74.2,NE,string,447.05,442.05,136.5,136.5,Pitkin,On-Air,undefined,CCARC,string,Roaring Fork Amateur Repeater Cooperative,Aspen-Snowmass areas.,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.7,-0.6,100,K0EP,"Durango, Missionary Ridge",CO,OPEN,string,75.9,S,string,146.7,146.1,100,100,La Plata,On-Air,9,CCARC,string,Durango ARC,Local.,undefined,undefined,undefined,undefined,undefined,http://durangoarc.org/,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
445.1375,-5,CC7,N0SZ,"Durango, Missionary Ridge",CO,OPEN,string,77,S,string,445.1375,440.1375,string,undefined,La Plata,On-Air,undefined,CCARC,string,K2AD,undefined,undefined,Rocky Mountain Ham Radio,undefined,undefined,undefined,http://www.rmham.org/,undefined,undefined,undefined,string,7,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
145.19,-0.6,100,KB5ITS,"Dolores, Summit Ridge",CO,OPEN,string,77.4,SSW,string,145.19,144.59,100,undefined,Montezuma,On-Air,undefined,CCARC,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,http://www.sjcham.com,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.275,-5,100,KB5ITS,"Dolores, Summit Ridge",CO,OPEN,string,77.4,SSW,string,447.275,442.275,100,undefined,Montezuma,On-Air,undefined,undefined,string,undefined,undefined,undefined,undefined,undefined,undefined,undefined,http://www.sjcham.com,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
447.15,-5,136.5,K0VQ,"Carbondale, Missouri Heights",CO,OPEN,E,77.6,NNE,string,447.15,442.15,136.5,undefined,Garfield,On-Air,undefined,undefined,string,undefined,undefined,undefined,undefined,undefined,"Please contact Tracy, K0VQ, by email or on-the-air prior to attempting to use this node to obtain codes for specific questions and to make sure that proper protocol is followed. Please DO NOT just key up and start issuing DTMF codes, connecting to reflectors, etc., without guidance.",undefined,undefined,undefined,undefined,8150,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
147.345,0.6,88.5,KB0VJJ,"Durango, Missionary Ridge",CO,OPEN,string,78.2,S,string,147.345,147.945,88.5,123,La Plata,On-Air,undefined,CCARC,string,Colorado Connection,Durango and north towards Molas Divide.,Full-time to the  Colorado Connection System .,undefined,undefined,undefined,"Central Colorado Traffic Net: Daily at 19:30.  
Colorado Connection Net (All Welcome): Thu at 20:00. 
Statewide ARES: Sun at 20:00.",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
146.76,-0.6,88.5,K7QEQ,"Moab, Bald Mesa",UT,OPEN,string,78.3,W,string,146.76,146.16,88.5,undefined,Grand,On-Air,undefined,UVHFS,string,Sinbad Desert ARC,Moab and immediate surroundings.,undefined,undefined,undefined,8,undefined,http://www.sdarc.us/repeaters/bald.html,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
